holiday_name,datestamp,isOffDay
元旦,2022-01-01,True
元旦,2022-01-02,True
元旦,2022-01-03,True
春节,2022-01-29,False
春节,2022-01-30,False
春节,2022-01-31,True
春节,2022-02-01,True
春节,2022-02-02,True
春节,2022-02-03,True
春节,2022-02-04,True
春节,2022-02-05,True
春节,2022-02-06,True
清明节,2022-04-02,False
清明节,2022-04-03,True
清明节,2022-04-04,True
清明节,2022-04-05,True
劳动节,2022-04-24,False
劳动节,2022-04-30,True
劳动节,2022-05-01,True
劳动节,2022-05-02,True
劳动节,2022-05-03,True
劳动节,2022-05-04,True
劳动节,2022-05-07,False
端午节,2022-06-03,True
端午节,2022-06-04,True
端午节,2022-06-05,True
中秋节,2022-09-10,True
中秋节,2022-09-11,True
中秋节,2022-09-12,True
国庆节,2022-10-01,True
国庆节,2022-10-02,True
国庆节,2022-10-03,True
国庆节,2022-10-04,True
国庆节,2022-10-05,True
国庆节,2022-10-06,True
国庆节,2022-10-07,True
国庆节,2022-10-08,False
国庆节,2022-10-09,False
元旦,2022-12-31,True
元旦,2023-01-01,True
元旦,2023-01-02,True
春节,2023-01-21,True
春节,2023-01-22,True
春节,2023-01-23,True
春节,2023-01-24,True
春节,2023-01-25,True
春节,2023-01-26,True
春节,2023-01-27,True
春节,2023-01-28,False
春节,2023-01-29,False
清明节,2023-04-05,True
劳动节,2023-04-23,False
劳动节,2023-04-29,True
劳动节,2023-04-30,True
劳动节,2023-05-01,True
劳动节,2023-05-02,True
劳动节,2023-05-03,True
劳动节,2023-05-06,False
端午节,2023-06-22,True
端午节,2023-06-23,True
端午节,2023-06-24,True
端午节,2023-06-25,False
中秋节、国庆节,2023-09-29,True
中秋节、国庆节,2023-09-30,True
中秋节、国庆节,2023-10-01,True
中秋节、国庆节,2023-10-02,True
中秋节、国庆节,2023-10-03,True
中秋节、国庆节,2023-10-04,True
中秋节、国庆节,2023-10-05,True
中秋节、国庆节,2023-10-06,True
中秋节、国庆节,2023-10-07,False
中秋节、国庆节,2023-10-08,False
元旦,2024-01-01,True
春节,2024-02-04,False
春节,2024-02-10,True
春节,2024-02-11,True
春节,2024-02-12,True
春节,2024-02-13,True
春节,2024-02-14,True
春节,2024-02-15,True
春节,2024-02-16,True
春节,2024-02-17,True
春节,2024-02-18,False
清明节,2024-04-04,True
清明节,2024-04-05,True
清明节,2024-04-06,True
清明节,2024-04-07,False
劳动节,2024-04-28,False
劳动节,2024-05-01,True
劳动节,2024-05-02,True
劳动节,2024-05-03,True
劳动节,2024-05-04,True
劳动节,2024-05-05,True
劳动节,2024-05-11,False
端午节,2024-06-10,True
中秋节,2024-09-14,False
中秋节,2024-09-15,True
中秋节,2024-09-16,True
中秋节,2024-09-17,True
国庆节,2024-09-29,False
国庆节,2024-10-01,True
国庆节,2024-10-02,True
国庆节,2024-10-03,True
国庆节,2024-10-04,True
国庆节,2024-10-05,True
国庆节,2024-10-06,True
国庆节,2024-10-07,True
国庆节,2024-10-12,False
元旦,2025-01-01,True
春节,2025-01-26,False
春节,2025-01-28,True
春节,2025-01-29,True
春节,2025-01-30,True
春节,2025-01-31,True
春节,2025-02-01,True
春节,2025-02-02,True
春节,2025-02-03,True
春节,2025-02-04,True
春节,2025-02-08,False
清明节,2025-04-04,True
清明节,2025-04-05,True
清明节,2025-04-06,True
劳动节,2025-04-27,False
劳动节,2025-05-01,True
劳动节,2025-05-02,True
劳动节,2025-05-03,True
劳动节,2025-05-04,True
劳动节,2025-05-05,True
端午节,2025-05-31,True
端午节,2025-06-01,True
端午节,2025-06-02,True
国庆节、中秋节,2025-09-28,False
国庆节、中秋节,2025-10-01,True
国庆节、中秋节,2025-10-02,True
国庆节、中秋节,2025-10-03,True
国庆节、中秋节,2025-10-04,True
国庆节、中秋节,2025-10-05,True
国庆节、中秋节,2025-10-06,True
国庆节、中秋节,2025-10-07,True
国庆节、中秋节,2025-10-08,True
国庆节、中秋节,2025-10-11,False
元旦,2026-01-01,True
元旦,2026-01-02,True
元旦,2026-01-03,True
元旦,2026-01-04,False
春节,2026-02-14,False
春节,2026-02-15,True
春节,2026-02-16,True
春节,2026-02-17,True
春节,2026-02-18,True
春节,2026-02-19,True
春节,2026-02-20,True
春节,2026-02-21,True
春节,2026-02-22,True
春节,2026-02-23,True
春节,2026-02-28,False
清明节,2026-04-04,True
清明节,2026-04-05,True
清明节,2026-04-06,True
劳动节,2026-05-01,True
劳动节,2026-05-02,True
劳动节,2026-05-03,True
劳动节,2026-05-04,True
劳动节,2026-05-05,True
劳动节,2026-05-09,False
端午节,2026-06-19,True
端午节,2026-06-20,True
端午节,2026-06-21,True
国庆节,2026-09-20,False
中秋节,2026-09-25,True
中秋节,2026-09-26,True
中秋节,2026-09-27,True
国庆节,2026-10-01,True
国庆节,2026-10-02,True
国庆节,2026-10-03,True
国庆节,2026-10-04,True
国庆节,2026-10-05,True
国庆节,2026-10-06,True
国庆节,2026-10-07,True
国庆节,2026-10-10,False
